,id_name,is_potentially_hazardous_asteroid,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,close_approach_date,epoch_date_close_approach,orbiting_body,relative_velocity.kilometers_per_second,relative_velocity.kilometers_per_hour,orbit_class_description,id,name,proportion_of_max_diameter_to_earth
37,3943319-(2019 YS),0,1.332155667,2.978790628,1995-01-02,1995-01-02 22:41:00,Earth,2.9755350607,178.53210364259,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3943319,(2019 YS),2.33777321299639e-07
38,54016806-(2020 HT7),0,11.2345317672,25.1211767268,1995-01-02,1995-01-02 03:54:00,Earth,7.1500141326,429.000847955355,Near Earth asteroid orbits similar to that of 1221 Amor,54016806,(2020 HT7),1.9715254062784495e-06
39,3842683-(2019 LO),0,8.0270316728,17.948988478,1995-01-09,1995-01-09 04:53:00,Earth,7.6152812259,456.91687355569,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3842683,(2019 LO),1.408647659551091e-06
40,3366282-(2007 BD),0,22.1082810359,49.435619262,1995-01-09,1995-01-09 12:02:00,Earth,23.3997220939,1403.98332563241,An asteroid orbit contained entirely within the orbit of the Eart,3366282,(2007 BD),3.8797378168262445e-06
41,3544935-(2010 PW58),1,121.4940407996,271.6689340891,1995-01-09,1995-01-09 16:34:00,Earth,11.1607357991,669.6441479459817,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3544935,(2010 PW58),2.1320745101954168e-05
42,3797669-(2018 AW11),0,17.561231848,39.2681081809,1995-01-09,1995-01-09 16:02:00,Earth,5.7808744202,346.8524652127817,An asteroid orbit contained entirely within the orbit of the Eart,3797669,(2018 AW11),3.0817852912337154e-06
43,3735599-(2015 WA13),0,16.0160337979,35.8129403019,1995-01-09,1995-01-09 18:00:00,Earth,8.1492924834,488.957549006845,Near Earth asteroid orbits similar to that of 1221 Amor,3735599,(2015 WA13),2.810621590166379e-06
44,3102756-(2002 AO11),0,76.6575573531,171.4115092306,1995-01-14,1995-01-14 07:03:00,Earth,11.6500973732,699.00584239344,Near Earth asteroid orbits similar to that of 1221 Amor,3102756,(2002 AO11),1.3452480711866268e-05
45,2434632-434632 (2005 WE),0,291.4439045349,651.6883821679,1995-01-14,1995-01-14 01:16:00,Earth,10.1296631155,607.7797869310867,Near Earth asteroid orbits similar to that of 2062 Aten,2434632,434632 (2005 WE),5.114490520859363e-05
46,3457846-(2009 HG21),0,26.58,59.4346868419,1995-01-14,1995-01-14 11:51:00,Earth,13.7000461198,822.0027671875134,Near Earth asteroid orbits similar to that of 1221 Amor,3457846,(2009 HG21),4.664470792803328e-06
47,2495323-495323 (2014 JG78),0,319.5618867213,714.5621017269,1995-01-15,1995-01-15 23:36:00,Earth,10.8088500572,648.53100343293,An asteroid orbit contained entirely within the orbit of the Eart,2495323,495323 (2014 JG78),5.6079273405030606e-05
48,2510055-510055 (2010 FH81),1,127.2198785394,284.4722965033,1995-01-15,1995-01-15 02:53:00,Earth,9.8408312207,590.4498732412917,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,2510055,510055 (2010 FH81),2.2325560861976142e-05
49,3514799-(2010 FH81),1,127.2198785394,284.4722965033,1995-01-15,1995-01-15 08:00:00,Earth,9.8408316738,590.4499004287084,An asteroid orbit contained entirely within the orbit of the Eart,3514799,(2010 FH81),2.2325560861976142e-05
50,3671135-(2014 JG78),0,319.5618867213,714.5621017269,1995-01-15,1995-01-15 08:00:00,Earth,10.8088439585,648.5306375106667,Near Earth asteroid orbits similar to that of 2062 Aten,3671135,(2014 JG78),5.6079273405030606e-05
51,3092506-(2001 WJ4),0,8.801465209,19.6806745089,1995-01-15,1995-01-15 09:08:00,Earth,11.1738744976,670.4324698556334,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3092506,(2001 WJ4),1.5445514447417989e-06
52,3761747-(2016 UO41),0,35.0392641108,78.3501764334,1995-01-15,1995-01-15 07:27:00,Earth,10.3790222165,622.7413329895801,Near Earth asteroid orbits similar to that of 2062 Aten,3761747,(2016 UO41),6.148970054418458e-06
53,3709080-(2015 BV510),0,211.1324447897,472.1064988055,1995-01-15,1995-01-15 15:16:00,Earth,32.1281627776,1927.6897666533,An asteroid orbit contained entirely within the orbit of the Eart,3709080,(2015 BV510),3.705120850773034e-05
54,3485806-(2010 AL60),0,88.0146520901,196.8067450894,1995-01-12,1995-01-12 07:05:00,Earth,11.6706583618,700.2395017056417,An asteroid orbit contained entirely within the orbit of the Eart,3485806,(2010 AL60),1.544551444744938e-05
55,3371143-(2007 EO88),0,13.9493822934,31.1917670523,1995-01-12,1995-01-12 15:03:00,Earth,9.8910525391,593.4631523480716,An asteroid orbit contained entirely within the orbit of the Eart,3371143,(2007 EO88),2.447949070185214e-06
56,2230111-230111 (2001 BE10),1,402.3045798343,899.5803881691,1995-01-12,1995-01-12 18:53:00,Earth,16.2693534256,976.1612055379017,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,2230111,230111 (2001 BE10),7.059962236455031e-05
57,2002062-2062 Aten (1976 AA),0,1010.5434154201,2259.643771094,1995-01-12,1995-01-12 01:44:00,Earth,10.3240519745,619.4431184708517,Near Earth asteroid orbits similar to that of 1221 Amor,2002062,2062 Aten (1976 AA),0.00017733823348720765
58,3515451-(2010 GV23),0,8.0270316728,17.948988478,1995-01-12,1995-01-12 10:54:00,Earth,6.4940324303,389.641945820735,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3515451,(2010 GV23),1.408647659551091e-06
59,3678562-(2014 OE338),0,167.7084621628,375.0075217981,1995-01-12,1995-01-12 12:26:00,Earth,18.236464048,,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3678562,(2014 OE338),2.9430821048351907e-05
60,3766324-(2017 AY3),0,201.6299194428,450.8582061718,1995-01-12,1995-01-12 06:02:00,Earth,15.7875149268,947.25089560644,Near Earth asteroid orbits similar to that of 2062 Aten,3766324,(2017 AY3),3.5383629428017583e-05
61,3837932-(2019 AY13),0,84.0533402073,187.9489824394,1995-01-12,1995-01-12 19:22:00,Earth,18.2560546111,1095.36327666843,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3837932,(2019 AY13),1.4750351784602104e-05
62,3837973-(2019 BO1),0,319.5618867213,714.5621017269,1995-01-12,1995-01-12 10:13:00,Earth,12.4614908455,747.6894507276417,Near Earth asteroid orbits similar to that of 2062 Aten,3837973,(2019 BO1),5.6079273405030606e-05
63,2152964-152964 (2000 GP82),0,766.5755735311,1714.1150923063,1995-01-13,1995-01-13 12:45:00,Earth,10.7348065466,644.0883927942233,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,2152964,152964 (2000 GP82),0.00013452480711868625
64,3263533-(2004 XG29),0,23.150212221,51.7654482198,1995-01-13,1995-01-13 14:15:00,Earth,17.1620093391,1029.7205603434568,Near Earth asteroid orbits similar to that of 1221 Amor,3263533,(2004 XG29),4.062584226950243e-06
65,3736819-(2015 YE),0,55.5334911581,124.1766612574,1995-01-13,1995-01-13 15:10:00,Earth,18.7825458444,1126.9527506612285,An asteroid orbit contained entirely within the orbit of the Eart,3736819,(2015 YE),9.745460779893266e-06
66,3361551-(2006 WR127),0,231.5021222103,517.6544821978,1995-01-13,1995-01-13 15:29:00,Earth,21.5193423706,1291.16054223471,Near Earth asteroid orbits similar to that of 2062 Aten,3361551,(2006 WR127),4.062584226948674e-05
67,3704145-(2015 AB246),0,80.2703167283,179.4898847799,1995-01-13,1995-01-13 01:59:00,Earth,11.5094811181,690.5688670849133,Near Earth asteroid orbits similar to that of 2062 Aten,3704145,(2015 AB246),1.408647659550306e-05
68,3314052-(2006 BO55),0,211.1324447897,472.1064988055,1995-01-13,1995-01-13 10:42:00,Earth,12.6021862577,756.13117546482,An asteroid orbit contained entirely within the orbit of the Eart,3314052,(2006 BO55),3.705120850773034e-05
69,2526742-526742 (2006 WR127),0,231.5021222103,517.6544821978,1995-01-13,1995-01-13 15:29:00,Earth,21.5193382684,1291.1602961067183,Near Earth asteroid orbits similar to that of 2062 Aten,2526742,526742 (2006 WR127),4.062584226948674e-05
70,3117420-(2002 EY2),1,366.9061375314,820.4270648822,1995-01-10,1995-01-10 01:59:00,Earth,18.9235619734,1135.413718404228,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3117420,(2002 EY2),6.438762085090253e-05
71,3620667-(2012 XP111),0,53.0340723319,118.5877908577,1995-01-10,1995-01-10 09:37:00,Earth,3.7998353604,227.99012162600667,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3620667,(2012 XP111),9.306842792159787e-06
72,2163023-163023 (2001 XU1),0,366.9061375314,820.4270648822,1995-01-10,1995-01-10 09:00:00,Earth,15.8881862568,953.2911754062668,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,2163023,163023 (2001 XU1),6.438762085090253e-05
