,id_name,is_potentially_hazardous_asteroid,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,close_approach_date,epoch_date_close_approach,orbiting_body,relative_velocity.kilometers_per_second,relative_velocity.kilometers_per_hour,orbit_class_description,id,name,relative_velocity.kilometers_per_minute
0,2154652-154652 (2004 EP20),0,483.6764882185,1081.533506775,1995-01-07,1995-01-07 08:33:00,Earth,16.1428635186,58114.3086669449,Near Earth asteroid orbits similar to that of 2062 Aten,2154652,154652 (2004 EP20),968.5718111157482
1,3153509-(2003 HM),1,96.5061469579,215.7943048444,1995-01-07,1995-01-07 15:09:00,Earth,12.3510438151,44463.7577343496,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3153509,(2003 HM),741.0626289058267
2,3516633-(2010 HA),0,44.1118199997,98.6370281305,1995-01-07,1995-01-07 02:47:00,Earth,6.2204353548,,Near Earth asteroid orbits similar to that of 2062 Aten,3516633,(2010 HA),
3,3837644-(2019 AY3),0,46.1907460282,103.2856480504,1995-01-07,1995-01-07 21:25:00,Earth,22.4786152837,80923.0150213416,Near Earth asteroid orbits similar to that of 2062 Aten,3837644,(2019 AY3),1348.7169170223601
4,3843493-(2019 PY),0,22.1082810359,49.435619262,1995-01-07,1995-01-07 02:45:00,Earth,4.9986912098,17995.2883553078,Near Earth asteroid orbits similar to that of 1221 Amor,3843493,(2019 PY),299.9214725884633
5,3765015-(2016 WR48),0,160.1603379786,358.1294030194,1995-01-08,1995-01-08 12:46:00,Earth,7.4650893561,26874.3216818148,An asteroid orbit contained entirely within the orbit of the Eart,3765015,(2016 WR48),447.90536136357997
6,3824107-(2018 JB3),0,802.7031672829,1794.8988477988,1995-01-08,1995-01-08 10:54:00,Earth,32.1607528615,115778.71030144,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3824107,(2018 JB3),1929.6451716906668
7,2446862-446862 (2001 VB76),1,231.5021222103,517.6544821978,1995-01-08,1995-01-08 09:13:00,Earth,7.5907111593,27326.560173582,Near Earth asteroid orbits similar to that of 1221 Amor,2446862,446862 (2001 VB76),455.4426695597
8,3623683-(2013 AG53),0,27.8326768072,62.2357573367,1995-01-05,1995-01-05 06:02:00,Earth,5.4474225417,19610.7211502161,Near Earth asteroid orbits similar to that of 1221 Amor,3623683,(2013 AG53),326.8453525036017
9,3645123-(2013 NX23),0,483.6764882185,1081.533506775,1995-01-05,1995-01-05 22:31:00,Earth,21.6051988007,77778.7156823659,Near Earth asteroid orbits similar to that of 1221 Amor,3645123,(2013 NX23),1296.3119280394317
10,2416151-416151 (2002 RQ25),0,192.5550781879,430.566244241,1995-01-05,1995-01-05 03:28:00,Earth,7.6363343327,27490.8035975483,Near Earth asteroid orbits similar to that of 1221 Amor,2416151,416151 (2002 RQ25),458.1800599591383
11,3550117-(2010 VB),0,20.1629919443,45.0858206172,1995-01-05,1995-01-05 14:32:00,Earth,7.7759841602,27993.542976657,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3550117,(2010 VB),466.55904961095
12,3471692-(2009 UP1),0,291.4439045349,651.6883821679,1995-01-06,1995-01-06 14:26:00,Earth,13.7631523886,49547.3485989409,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3471692,(2009 UP1),825.7891433156817
13,3713272-(2015 EF7),0,35.0392641108,78.3501764334,1995-01-06,1995-01-06 04:51:00,Earth,6.6616654938,23981.9957775161,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3713272,(2015 EF7),399.6999296252683
